date;week;weekday;value;target;category;place
12/07/12 11:35;29;4;8 138,58;;наличные;будва
12/07/12 11:58;29;4;203,03;Мобильный в Черногории;мобильный;будва
12/07/12 12:26;29;4;203,03;Мобильный в Черногории;мобильный;будва
12/07/12 12:47;29;4;500,52;Супермаркет Roda;супермаркеты;будва
17/07/12 00:00;30;2;32,75;;работа;бигова
19/07/12 00:00;30;4;64,97;;работа;бигова
20/07/12 09:32;30;5;9 941,18;;наличные;герцегнови
22/07/12 07:56;30;7;1 128,79;Аренда велика;спорт;герцегнови
23/07/12 12:54;31;1;2 476,59;Отель Vile Olivia;отели;петровац
24/07/12 18:06;31;2;10 169,65;;наличные;будва
26/07/12 00:00;31;4;332,77;;работа;тиват
26/07/12 19:12;31;4;4 041,24;;наличные;тиват
26/07/12 22:54;31;4;630,78;Супермаркет Roda;супермаркеты;котор
30/07/12 20:00;32;1;929,05;Супермаркет Roda;супермаркеты;котор
31/07/12 09:57;32;2;4 863,98;;алко;котор
31/07/12 17:05;32;2;320;Аэроэкспресс;транспорт;
01/08/12 15:08;32;3;300;Кафе Лебедева;рестораны;
01/08/12 22:03;32;3;680;Friends Forever;рестораны;
02/08/12 12:07;32;4;155;Глобус-гурмэ;супермаркеты;
07/08/12 22:24;33;2;600;Открытый мир, йога;спорт;
07/08/12 22:55;33;2;108,65;Алые паруса;супермаркеты;
15/08/12 00:00;34;3;162,2;;работа;
15/08/12 11:47;34;3;500;;мобильный;
15/08/12 21:15;34;3;1 050;;рестораны;
15/08/12 21:35;34;3;323,5;Азбука вкуса;супермаркеты;
16/08/12 12:17;34;4;377;;медицина;
16/08/12 12:49;34;4;405;Джаганнат;рестораны;
18/08/12 00:00;34;6;260,43;;работа;
20/08/12 11:08;35;1;450;Корреас;рестораны;
20/08/12 13:01;35;1;5 000;;наличные;
24/08/12 00:00;35;5;649,27;;работа;
27/08/12 00:00;36;1;324,24;;работа;
27/08/12 18:10;36;1;154;Глобус-гурмэ;супермаркеты;
28/08/12 11:06;36;2;300;Мобильный;мобильный;
30/08/12 00:00;36;4;164,37;;работа;
04/09/12 17:03;37;2;2 570,5;Азбука вкуса;супермаркеты;
05/09/12 18:46;37;3;450;Upside Down Cake;рестораны;
06/09/12 12:47;37;4;1 330;Корреас;рестораны;
07/09/12 16:14;37;5;14 266;Билеты в Самару (на всех);транспорт;
07/09/12 16:31;37;5;5 590,2;Билеты из Самары (на всех);транспорт;
09/09/12 15:36;37;7;780;Корреас;рестораны;
09/09/12 21:10;37;7;378;Джаганнат;рестораны;
10/09/12 00:00;38;1;356,01;;работа;
10/09/12 15:41;38;1;1 120;I love cake;рестораны;
10/09/12 22:16;38;1;1 833;;рестораны;
11/09/12 13:19;38;2;365;Джаганнат;рестораны;
11/09/12 16:10;38;2;300;Хлеб насущный;рестораны;
11/09/12 22:24;38;2;1 625;Корреас;рестораны;
11/09/12 22:51;38;2;15 000;;наличные;
11/09/12 22:52;38;2;15 000;;наличные;
11/09/12 22:53;38;2;15 000;;наличные;
12/09/12 10:06;38;3;520;Корреас;рестораны;
12/09/12 14:51;38;3;736;Искра;рестораны;
12/09/12 18:40;38;3;340;Искра;рестораны;
13/09/12 14:48;38;4;1 590;Корреас;рестораны;
14/09/12 10:27;38;5;370;Корреас;рестораны;
14/09/12 22:32;38;5;7 880;Монтальто;рестораны;
17/09/12 12:19;39;1;1 050,4;Билеты в Брянск;транспорт;
17/09/12 12:20;39;1;1 298,6;Билеты в Брянск;транспорт;
19/09/12 15:39;39;3;2 521,7;Билеты в Питер;транспорт;
19/09/12 15:46;39;3;1 838,1;Билеты в Питер;транспорт;
19/09/12 23:32;39;3;370,5;;супермаркеты;
20/09/12 14:33;39;4;460;Мобильный;мобильный;
20/09/12 15:43;39;4;977;Страховка в ЮАР;путешествия;
20/09/12 17:26;39;4;108;Волконский;рестораны;
20/09/12 17:59;39;4;34,5;Магнолия;супермаркеты;
20/09/12 22:56;39;4;310;Магнолия;супермаркеты;
22/09/12 00:00;39;6;31,33;;работа;
24/09/12 13:11;40;1;660;Корреас;рестораны;
24/09/12 19:21;40;1;400;Мобильный;мобильный;
25/09/12 18:12;40;2;2 190;Отель Akvamarin, Питер;отели;питер
26/09/12 13:25;40;3;700;Хостел Hello, Питер;отели;питер
27/09/12 08:04;40;4;700;Хостел Hello, Питер;отели;питер
28/09/12 15:12;40;5;1 055;Лосины Calzedonia;одежда;питер
28/09/12 19:23;40;5;445;Лаш;красота;питер
28/09/12 20:54;40;5;5 000;;наличные;
28/09/12 22:40;40;5;3 500;Стрижка, Essentuals;красота;
30/09/12 00:00;40;7;63,47;;работа;
30/09/12 18:17;40;7;880;;кино;
01/10/12 00:19;41;1;200;Мобильный;мобильный;
11/10/12 20:28;42;4;914;Корреас;рестораны;
12/10/12 00:00;42;5;94,6;;работа;
12/10/12 09:34;42;5;566,5;;медицина;
12/10/12 11:45;42;5;1 939,69;Кремчики;красота;
12/10/12 13:32;42;5;320;Аэроэкспресс;транспорт;
12/10/12 14:06;42;5;640;Хлеб насущный;рестораны;
12/10/12 19:43;42;5;187,16;;супермаркеты;каир
12/10/12 20:04;42;5;296,6;;супермаркеты;каир
13/10/12 18:00;42;6;686,79;Супермаркет Spar;супермаркеты;йоханнесбург
13/10/12 20:00;42;6;369,91;;рестораны;йоханнесбург
14/10/12 12:00;42;7;173,91;;супермаркеты;йоханнесбург
14/10/12 16:00;42;7;1 174,11;Супермаркет Spar;супермаркеты;йоханнесбург
14/10/12 00:00;42;7;252,82;;работа;йоханнесбург
15/10/12 12:36;43;1;48,92;;супермаркеты;йоханнесбург
16/10/12 14:00;43;2;896,85;;супермаркеты;
17/10/12 16:00;43;3;423,94;Супермаркет Superspar;супермаркеты;
17/10/12 18:00;43;3;434,31;Kauai Ballit;рестораны;
18/10/12 14:00;43;4;3 122,13;Рыбный ресторан, Дурбан;рестораны;дурбан
20/10/12 20:05;43;6;2 967,44;Отель Lagoon Lodge;отели;
22/10/12 15:03;44;1;1 632,04;Old Gaol;рестораны;ЮАР
23/10/12 11:49;44;2;1 622,8;Tops;алко;
25/10/12 19:00;44;4;645,53;;алко;кейптаун
25/10/12 10:00;44;4;1 724,84;;супермаркеты;кейптаун
25/10/12 12:00;44;4;734,73;;супермаркеты;кейптаун
25/10/12 17:00;44;4;166,84;;красота;кейптаун
25/10/12 19:00;44;4;2 335,08;Отель Amalfi;отели;кейптаун
25/10/12 12:05;44;4;85,86;;рестораны;кейптаун
27/10/12 11:10;44;6;23,42;;супермаркеты;
28/10/12 18:00;44;7;2 105,07;Супермаркет Spar;супермаркеты;йоханнесбург
28/10/12 10:54;44;7;483,11;;подарки;йоханнесбург
29/10/12 19:00;45;1;3 543,33;;подарки;йоханнесбург
29/10/12 19:00;45;1;593,14;;подарки;йоханнесбург
29/10/12 16:00;45;1;74,49;;рестораны;йоханнесбург
29/10/12 12:59;45;1;682;;алко;йоханнесбург
29/10/12 16:07;45;1;409,55;;подарки;йоханнесбург
30/10/12 18:00;45;2;276,14;Супермаркет Wholefoods;супермаркеты;йоханнесбург
30/10/12 06:20;45;2;324,34;;супермаркеты;каир
30/10/12 10:09;45;2;88,83;;супермаркеты;каир
30/10/12 17:20;45;2;320;;транспорт;
30/10/12 19:09;45;2;1 003;Страховка в Финляндию;путешествия;
30/10/12 19:55;45;2;1 555;Хлеб насущный;рестораны;
31/10/12 11:27;45;3;750;Корреас;рестораны;
01/11/12 16:43;45;4;9 844,64;Билеты в Хельсинки;транспорт;
01/11/12 21:21;45;4;10 250,98;Билеты из Хельсинки;транспорт;
02/11/12 20:46;45;5;449;Ив Роше;красота;
03/11/12 17:50;45;6;2 700;Азбука вкуса;супермаркеты;
04/11/12 00:00;45;7;66;;работа;
04/11/12 11:18;45;7;100;Мобильный;мобильный;
04/11/12 12:38;45;7;3 320,33;Виски;алко;
04/11/12 15:30;45;7;320;Аэроэкспресс;транспорт;
04/11/12 17:51;45;7;556,18;Il Duetto;рестораны;хельсинки
04/11/12 18:15;45;7;732,92;Супермаркет Kamppi;супермаркеты;хельсинки
05/11/12 12:18;46;1;4 853,21;Проездной на месяц в Хельсинки;транспорт;хельсинки
05/11/12 13:17;46;1;616,21;Очки для плавания;спорт;хельсинки
05/11/12 14:56;46;1;5 767,82;;наличные;хельсинки
07/11/12 07:11;46;3;1 847,13;Кружка с маяком;подарки;хельсинки
07/11/12 08:29;46;3;434,16;;рестораны;хельсинки
08/11/12 00:00;46;4;289,27;Кришнамурти;книги;хельсинки
08/11/12 00:00;46;4;346,23;Кришнамурти;книги;хельсинки
09/11/12 15:10;46;5;959,11;Фафас, фалафель;рестораны;хельсинки
10/11/12 15:20;46;6;277,08;Супермаркет Kamppi;супермаркеты;хельсинки
10/11/12 15:30;46;6;2 086,27;Alko, Хельсинки;алко;хельсинки
10/11/12 17:37;46;6;5 738,28;;наличные;хельсинки
12/11/12 15:57;47;1;789,24;Фафас, фалафель;рестораны;хельсинки
12/11/12 16:41;47;1;528,66;Супермаркет Kamppi;супермаркеты;хельсинки
14/11/12 00:00;47;3;66;;работа;хельсинки
14/11/12 15:56;47;3;407,83;;рестораны;хельсинки
14/11/12 16:27;47;3;379,82;Супермаркет Kamppi;супермаркеты;хельсинки
15/11/12 00:00;47;4;280,01;Муми-тролли;книги;хельсинки
15/11/12 00:00;47;4;270,61;Муми-тролли;книги;хельсинки
15/11/12 00:00;47;4;270,61;Муми-тролли;книги;хельсинки
15/11/12 00:00;47;4;366,86;Муми-тролли;книги;хельсинки
15/11/12 09:28;47;4;363,03;Столовая в Аальто;рестораны;хельсинки
16/11/12 00:00;47;5;352,07;;книги;хельсинки
16/11/12 09:03;47;5;329,66;Столовая в Аальто;рестораны;хельсинки
17/11/12 13:15;47;6;329,66;Музей Мумми-троллей;музеи;хельсинки
17/11/12 13:31;47;6;1 483,08;;транспорт;хельсинки
17/11/12 14:07;47;6;1 021,96;Сувениры из музея Мумми-троллей;подарки;тампере
17/11/12 15:20;47;6;964,27;Thai Laos, Тампере;рестораны;тампере
17/11/12 16:23;47;6;998,06;Билет в Тампере;транспорт;тампере
17/11/12 19:13;47;6;197,8;;супермаркеты;хельсинки
17/11/12 19:49;47;6;206,04;;рестораны;хельсинки
18/11/12 00:00;47;7;235,45;Муми-тролли;книги;хельсинки
18/11/12 00:00;47;7;303,6;Муми-тролли;книги;хельсинки
18/11/12 00:00;47;7;269,69;Муми-тролли;книги;хельсинки
18/11/12 00:00;47;7;279,06;Муми-тролли;книги;хельсинки
18/11/12 00:00;47;7;279,06;Муми-тролли;книги;хельсинки
18/11/12 00:00;47;7;66;;работа;хельсинки
18/11/12 11:11;47;7;4 821,34;Билеты в Таллин;транспорт;хельсинки
18/11/12 13:28;47;7;135,07;;рестораны;хельсинки
18/11/12 18:40;47;7;4 120,8;;наличные;таллин
18/11/12 21:06;47;7;988,99;Cru, Таллин;рестораны;таллин
18/11/12 21:43;47;7;288,04;;супермаркеты;таллин
19/11/12 13:42;48;1;470,69;;рестораны;хельсинки
19/11/12 14:20;48;1;515,72;;рестораны;хельсинки
20/11/12 00:00;48;2;649;;работа;хельсинки
20/11/12 09:19;48;2;1 267,17;Печать в Хельсинки;работа;хельсинки
20/11/12 10:22;48;2;388,33;Столовая в Аальто;рестораны;хельсинки
20/11/12 14:55;48;2;1 377,05;Супермаркет Kamppi;супермаркеты;хельсинки
20/11/12 15:12;48;2;303,97;;одежда;хельсинки
20/11/12 16:44;48;2;142,66;;одежда;хельсинки
21/11/12 07:32;48;3;200,59;Hima & Sali;рестораны;хельсинки
23/11/12 09:05;48;5;438,63;;рестораны;хельсинки
23/11/12 18:11;48;5;430,43;;рестораны;хельсинки
24/11/12 11:20;48;6;819,79;;подарки;хельсинки
24/11/12 14:30;48;6;1 455,28;;рестораны;хельсинки
24/11/12 17:08;48;6;532,92;Cafe Carusel;рестораны;хельсинки
24/11/12 23:44;48;6;696,89;Фафас, фалафель;рестораны;хельсинки
25/11/12 10:22;48;7;421,42;Супермаркет Kamppi;супермаркеты;хельсинки
25/11/12 10:49;48;7;1 229,81;Музей Киасма;музеи;хельсинки
25/11/12 13:46;48;7;1 303,47;Funky Burger;рестораны;хельсинки
25/11/12 14:30;48;7;389,4;;книги;хельсинки
26/11/12 13:45;49;1;350,36;Супермаркет Kamppi;супермаркеты;хельсинки
26/11/12 14:16;49;1;196,77;;рестораны;хельсинки
26/11/12 14:30;49;1;1 517,94;;рестораны;хельсинки
27/11/12 13:52;49;2;800;Фафас, фалафель;рестораны;хельсинки
28/11/12 11:06;49;3;336,13;Столовая в Аальто;рестораны;хельсинки
29/11/12 11:51;49;4;3 634,38;Платье, COS;одежда;хельсинки
29/11/12 12:05;49;4;7 309,59;Платье, Marimekko;одежда;хельсинки
29/11/12 12:57;49;4;839,62;;рестораны;хельсинки
29/11/12 14:42;49;4;430,82;;подарки;хельсинки
30/11/12 00:07;49;5;320;Аэроэкспресс;транспорт;
30/11/12 15:43;49;5;430;;рестораны;хельсинки
01/12/12 00:00;49;6;169;;работа;
04/12/12 22:05;50;2;861;Билеты в Брянск;транспорт;
04/12/12 22:07;50;2;861;Билеты из Брянска;транспорт;
05/12/12 15:58;50;3;15 990;Прайм;подарки;
06/12/12 22:16;50;4;600;Открытый мир, йога;спорт;
08/12/12 17:45;50;6;4 500;Стрижка, Essentuals;красота;
09/12/12 17:12;50;7;486,5;Цветной;рестораны;
11/12/12 00:00;51;2;49;;работа;
12/12/12 00:00;51;3;99;;работа;
12/12/12 20:38;51;3;1 129,5;Тануки;рестораны;
13/12/12 08:12;51;4;1 422,77;Азбука вкуса;супермаркеты;
13/12/12 21:02;51;4;4 000;;наличные;
14/12/12 18:52;51;5;1 490;Бодишоп;красота;
14/12/12 22:12;51;5;483;Теремок;рестораны;
17/12/12 13:05;52;1;1 350;Цветной;подарки;
17/12/12 13:13;52;1;301,25;;рестораны;
18/12/12 12:34;52;2;1 021,5;Тануки;рестораны;
18/12/12 22:28;52;2;1 420;Корреас;рестораны;
19/12/12 08:03;52;3;2 253;;путешествия;бангкок
19/12/12 12:45;52;3;1 639,17;Виски;алко;
19/12/12 17:03;52;3;128;;книги;
19/12/12 17:49;52;3;640;Кофемания;рестораны;
20/12/12 13:46;52;4;5 311,61;;наличные;бангкок
21/12/12 15:00;52;5;2 537,93;Купальник, Siam Paragon;одежда;бангкок
21/12/12 15:12;52;5;5 508,29;;наличные;бангкок
24/12/12 16:47;53;1;5 275,29;;наличные;бангкок
26/12/12 20:47;53;3;5 266,4;;наличные;бангкок
27/12/12 00:00;53;4;99;;музыка;бангкок
28/12/12 00:00;53;5;129;;музыка;бангкок
29/12/12 12:24;53;6;10 360,7;;наличные;бангкок
31/12/12 00:00;54;1;186,11;;работа;бангкок
01/01/13 12:00;54;2;7 689,72;Отель Golden Tulip;отели;бангкок
03/01/13 12:00;54;4;4 304,09;Билеты на Самуи;транспорт;бангкок
04/01/13 19:00;54;5;651,38;Fuji, Siam Paragon;рестораны;бангкок
04/01/13 00:00;54;5;169;;музыка;бангкок
05/01/13 17:00;54;6;244,73;Кремчики;красота;бангкок
05/01/13 18:28;54;6;10 426,46;;наличные;бангкок
06/01/13 00:00;54;7;66;;музыка;бангкок
09/01/13 19:12;55;3;5 472,89;;наличные;панган
11/01/13 10:42;55;5;5 273,46;;наличные;панган
12/01/13 14:00;55;6;1 336,35;Панган-Бангкок-Панган;транспорт;панган
14/01/13 12:53;56;1;10 435,9;;наличные;панган
17/01/13 00:00;56;4;397,57;;книги;панган
17/01/13 00:00;56;4;426,8;;книги;панган
18/01/13 19:42;56;5;10 598,05;;наличные;панган
21/01/13 06:52;57;1;6 089,87;Билет в Гонконг;транспорт;панган
21/01/13 06:57;57;1;12 226,07;Билет в Москву;транспорт;панган
23/01/13 16:06;57;3;10 566,33;;наличные;панган
03/02/13 00:00;58;7;248,91;;книги;пхукет
03/02/13 00:00;58;7;124,46;;книги;пхукет
05/02/13 16:18;59;2;9 478,82;;наличные;пхукет
06/02/13 00:00;59;3;396,22;;книги;пхукет
07/02/13 08:05;59;4;100;Хостинг;работа;пхукет
16/02/13 20:11;60;6;20 894,09;;наличные;пхукет
17/02/13 00:00;60;7;400,58;;книги;пхукет
17/02/13 02:22;60;7;1 301,51;Nike Run;спорт;пхукет
18/02/13 15:00;61;1;153,61;Гугл-почта;работа;пхукет
19/02/13 14:06;61;2;10 490,13;;наличные;пхукет
11/04/13 18:30;68;4;300;Мобильный;мобильный;
12/04/13 13:54;68;5;333;Хлеб насущный;рестораны;
16/04/13 18:46;69;2;74;Свечи, Белые облака;красота;
18/04/13 00:00;69;4;321,06;;книги;
18/04/13 00:00;69;4;199;;музыка;
21/04/13 19:32;69;7;7 500;;наличные;
21/04/13 19:34;69;7;7 500;;наличные;
21/04/13 19:35;69;7;7 500;;наличные;
21/04/13 19:36;69;7;7 500;;наличные;
23/04/13 16:17;70;2;300;Мобильный;мобильный;
23/04/13 18:53;70;2;3 000;;наличные;
23/04/13 19:32;70;2;71;;супермаркеты;
28/04/13 19:30;70;7;2 200;Favorite;рестораны;
28/04/13 20:10;70;7;3 490;Ветровка, Nike;спорт;
29/04/13 14:37;71;1;6 672,2;;транспорт;
29/04/13 16:02;71;1;300;;мобильный;
01/05/13 22:12;71;3;2 230;Тануки;рестораны;
07/05/13 17:00;72;2;5 000;;наличные;
07/05/13 17:42;72;2;223,7;Алые паруса;супермаркеты;
08/05/13 11:24;72;3;4 000;;наличные;
11/05/13 15:04;72;6;299;Шорты домашние;одежда;
11/05/13 17:38;72;6;288;Джаганнат;рестораны;
11/05/13 17:56;72;6;746;Джаганнат;супермаркеты;
